Зорі	47.36293	38.19491
Золотіїв	50.64521	26.23231
Скеля Золоті Ворота	44.91517	35.23226
Золоті Пруди	48.73187	37.02175
Золотухи	49.87259	32.60861
Залатуха	49.75988	29.72029
Золотий Потік	48.90672	25.3419
Золотий Колодязь	48.53013	37.23558
Джайла́в-Сара́й	45.12774	34.99148
Залатэ	51.67264	26.4804
Золоте	48.69516	38.51512
Алата́й	45.2801	34.53851
Золотарівка	48.00497	38.18781
Золотоніський район	49.66898	32.03756
Золотоношка	50.02632	32.09711
Станція Золотоноша II	49.65625	32.02454
Станція Золотоноша I	49.65638	32.07793
Золотоноша	49.66926	32.03637
Залатолын	51.07531	26.31165
Zоlоtnyky	49.28808	25.38672
Золотковичі	49.71812	23.03333
Золотинка	51.34176	31.22506
Золота Слобода	49.42076	25.25204
Золота Нива	47.79411	36.98907
Золота Липа	48.98186	25.07276
Золота Балка	47.37839	33.96474
Золоте	45.42508	36.0772
Золотарівка	50.47686	34.69501
Золотарівка	49.21526	34.17645
Золотарівка	48.98768	33.09225
Золотарівка	48.87686	38.27261
Золочівський Район	50.28281	35.92925
Золочівський Район	49.94	24.88
Золочівка	50.51823	25.21769
Золочів	50.27985	35.98179
Золочів	49.80755	24.90056
Зольня	51.08292	27.51987
Трахімброд	50.91667	25.7
Зняцьово	48.48426	22.51467
Зносичі	51.21485	26.69747
Зноб Трубчевська	52.29291	33.57556
Знобівка	52.30262	33.40432
Зноб Новгородське	52.26291	33.6016
Знамирівка	50.9738	26.02387
Знам’янське	45.3806	32.89397
Знам'янський район	48.72051	32.65719
Знаменівка	48.66612	36.7295
Знаменовка	48.73843	35.41325
Знаменівка	47.43145	37.4437
Знаменка Вторая	48.71157	32.59655
Знам’янка	49.76198	35.75037
Знам’янка	48.74534	38.90664
Знаменка	48.72066	32.65822
Берлик	45.5429	34.35201
Значкове	47.98058	35.5165
Мостове	47.4179	30.99232
Змагайлівка	49.38868	32.13064
Зміївка	46.86322	33.5799
Зміїв	49.70746	36.37027
Зміїв	49.68886	36.3576
Змітнів	51.5804	32.72819
Змяіны востраў	45.25489	30.20371
Мис Зміїний	45.34629	36.54446
Злинка	48.48529	31.54227
Володимирівка	49.55	29.65
Золочівка	49.56669	25.20302
Злобичі	50.85726	28.69685
Zlаznе	50.93194	26.21581
Златоустове	46.99205	31.02222
Златоустівка	47.88258	33.73513
Златоустівка	47.49025	37.32688
Гуляйпіль	48.82189	31.6539
Златопіль	47.74164	32.22492
Златопіль	47.41027	35.02767
Зірниця	47.81682	35.99229
Червона Зірка	46.63985	30.43662
Маріуполь-Порт	47.05646	37.51079
Зінавэ	51.26439	33.91234
Зінківці	48.68463	26.56249
Зіньківське	50.08627	35.86389
Зіньківщина	49.04767	35.38152
Зіньків	49.08152	27.07183
Зіньки	50.16705	26.22929
Зимовище	51.42317	30.18561
Зимогір’я	48.58528	38.9375
Зимницкое	47.7305	30.47148
Зимне	50.80136	24.33111
Зимна Вода	49.83421	23.87832
Зимна Вода	49.82625	23.88222
Зупинний пункт Лазещина	48.26667	24.41667
Зимине	45.50797	33.51431
Зідьки	49.69768	36.40044
Зібранівка	48.51271	25.36167
Жытомірская вобласць	50.58333	28.5
Жытомір	50.26487	28.67669
Жвирка	50.46597	24.26726
Žvаnеts	48.54968	26.48744
Жванчик	48.55364	26.4848
Жван	48.57053	27.47092
Жван	48.61604	27.47989
Жужеляни	50.39888	24.04905
Журжинці	49.31097	30.87938
Березівка	48.63744	27.22067
Журжевичі	51.41248	27.71111
Журівка	47.35939	30.59315
Журавка	48.93235	31.62728
Журівка	47.39304	30.49321
Журівка	46.95259	31.40045
Журів	49.30782	24.44474
Журбинці	49.98298	28.71647
Журбинці	49.6531	28.95591
Журба	51.40323	29.12174
Журавське	49.25723	40.07323
Журавне	50.24424	34.76379
Журавне	49.50612	28.18049
Станція Журавно	49.31295	24.37617
Журавно	49.25928	24.28403
Журавники	50.4299	24.68874
Журавлине	51.30729	24.53181
Журавлинка	50.47741	29.03125
Журавлиха	49.41702	30.34587
Журавлі	49.95734	35.56814
Журавлівка	49.01556	27.58203
Журавлівка	48.64127	28.72332
Журавки	45.12629	35.21513
Журавка	52.20008	33.41154
Журавка	51.22181	34.98771
Журавка	50.48108	32.5949
Журавка	49.78812	37.17491
Журавка	49.28251	31.1846
Журавка	48.22992	37.36361
Журавичі	50.98016	25.71931
Журавеньки	49.24201	24.37135
Журава	49.30387	28.83903
Жураки	48.73951	24.48434
Жупани	48.79569	23.19861
Станція Вишневе	50.38431	30.36757
Жуляни	50.39281	30.44327
Жуличі	49.86139	24.86971
Жулин	49.17833	23.77157
Жуківці	50.07809	30.7759
Жуківці	49.01045	28.1834
Жукове	48.35889	36.59722
Жуківка	51.32821	31.68051
Жуківка	51.05423	33.83236
Жуковка	45.37269	36.62561
Жуків	50.40195	26.97729
Žukіv	49.51445	24.94042
Жуків	48.7076	25.10133
Жукотин	49.23258	22.86103
Жукотки	51.53599	31.03366
Жукотин	48.67875	25.06647
Жукля	51.81847	32.65915
Жукин	50.81163	30.69487
Жуки	49.67471	34.5019
Жуки	49.41996	33.16716
Жучківці	49.34877	26.59333
Жубровичі	51.0732	27.88296
Жовтневий район	48.43421	35.0639
Жовтневый район	47.99813	33.44128
Олександрівський район	47.82199	35.1704
Солом'янський район	50.42886	30.45135
Вітаўскі раён	46.87294	32.02038
Лагідне	49.03951	36.57827
Крижанівка	47.28742	30.22404
Миколаївка	50.38204	37.34137
Жовтневе	51.52184	32.34353
Жовтневе	51.47058	32.9247
Миролюбів	51.24879	28.11942
Миколаївка	50.94786	34.37813
Благодатне	50.66365	24.24918
Дмитрівка	50.60285	29.78394
Вознесенське	50.41189	32.02876
Жовтневе	50.24593	36.8942
Жовтневе	50.1843	36.42403
Жовтневе	50.03958	33.31811
Богданівське	49.88841	37.82596
Жовтневе	49.80911	30.85711
Жовтневе	49.64403	34.13317
